ID,SIDE,DEPTH,CHANNEL,SAMPLES,THETA_POWER,ALPHA_POWER,BETA_POWER,low_beta,high_beta,z_theta,z_alpha,z_beta,z_lbeta,z_hbeta
1,L,3.776,CRAW_02___Anterior,2624,4.31928025662984,4.08300963488398,3.53597039488855,3.651603643618,3.45434692519718,-0.592477874547196,0.0694917787124898,-0.234142997905431,-0.476976016278739,-0.0388852991708405
1,L,4.027,CRAW_01___Central,2517,4.92128226295264,4.11445792070213,3.50947125624241,3.77802646205015,3.31764610923688,1.69401235492976,0.206119583212086,-0.370229315271793,0.120523934781621,-0.73836631824733
1,L,4.027,CRAW_02___Anterior,2517,4.81373871650712,4.37377650893212,4.08831785207451,4.22149280159341,3.99319288813245,1.28554649334074,1.33273518257034,2.60243717773157,2.21643604511185,2.71832226123381
1,L,4.279,CRAW_01___Central,2546,4.40463974052286,3.80593492809541,3.28252783624939,3.52355733748743,3.11380718538276,-0.268270274132771,-1.13426568806331,-1.53569717027585,-1.08214890037752,-1.78138465857933
1,L,4.279,CRAW_02___Anterior,2546,4.54156735708832,4.03043024782179,3.53539373540946,3.69961668944749,3.42043766758283,0.251800513230388,-0.158940583476752,-0.237104432461205,-0.250056597069802,-0.21239473951757
1,L,4.531,CRAW_01___Central,2562,4.35669611333881,4.24426039050018,3.69523605708048,3.78581359253493,3.63183178226236,-0.450367067782359,0.770049412954995,0.58376575528216,0.157327497154785,0.869282569605112
1,L,4.531,CRAW_02___Anterior,2562,4.42236862653864,4.02372184855811,3.50627602401463,3.68711655354347,3.37968765334444,-0.20093341440664,-0.188085379107363,-0.386638429274142,-0.309134781558383,-0.420907477986708
1,L,5.031,CRAW_01___Central,2557,4.89882241496904,4.36860117136853,3.38571631340283,3.63506961502531,3.2111690022671,1.60870662101082,1.31025080892442,-1.00577278148829,-0.55511919800403,-1.28319638943849
1,L,5.031,CRAW_02___Anterior,2557,4.59874511795398,4.0393033794586,3.57224127835849,3.57310608680406,3.57163591244659,0.468969875108897,-0.120391058024591,-0.047873888370962,-0.847971434165764,0.561267814410398
1,L,5.532,CRAW_01___Central,2537,4.2099466739508,3.82500915174492,3.44319328305275,3.51287132268527,3.3934232547438,-1.00774255128198,-1.05139728261709,-0.71059982369961,-1.13265317959309,-0.350624119420376
1,L,5.532,CRAW_02___Anterior,2537,4.47795213789309,4.04020255031085,3.63629962157149,3.83099748485422,3.49722971922669,0.0101807584651083,-0.116484589477386,0.281097711078236,0.370875761497454,0.180540607382062
1,L,6.032,CRAW_02___Anterior,2563,4.33827501289255,3.94570711816159,3.58012345123703,3.77425531340263,3.4442311477211,-0.52033305750366,-0.527022178217584,-0.00739499227517346,0.10270071931882,-0.0906464703680376
1,L,6.534,CRAW_01___Central,2539,4.15041178097847,3.66818409342447,3.26663778262671,3.4543208925952,3.13257841836351,-1.23386464001999,-1.73272737268136,-1.6173005351678,-1.40937441985051,-1.6853346015079
1,L,6.785,CRAW_01___Central,2591,4.0212949082902,3.60295912334612,3.28588124522299,3.41510478326638,3.19284029783174,-1.7242690984132,-2.01609876252083,-1.51847573964997,-1.59471772808663,-1.37698208315755
1,L,6.785,CRAW_02___Anterior,2591,4.48622225896999,4.1940664153376,3.50066114149359,3.64797420310907,3.39459573713043,0.0415918681297093,0.551980527889934,-0.415473656521991,-0.494129490258809,-0.344624673338851
1,L,7.286,CRAW_02___Anterior,2639,4.35125605812916,3.98414343556155,3.53705943582285,3.71566693844322,3.41098355162023,-0.471029180124239,-0.360034709018989,-0.228550228563448,-0.174199856108116,-0.260770271305963
1,L,7.788,CRAW_01___Central,2556,4.65951491648012,3.9605111371319,3.31815628194391,3.4779756059019,3.20628275517331,0.69978231280498,-0.462705775683591,-1.35272729971517,-1.29757743400268,-1.30819870615925
1,L,7.788,CRAW_02___Anterior,2556,4.57105495294966,3.98350212284885,3.50850955248887,3.70522402962064,3.37080941849663,0.363798644664473,-0.362820906919883,-0.375168144565987,-0.223555167022695,-0.466336297963578
1,L,8.289,CRAW_01___Central,2548,4.74905266322989,3.83386695420094,3.3068169664454,3.49993532729197,3.17163411385279,1.03985955667212,-1.01291435514511,-1.41096035054198,-1.19379132467061,-1.48549148067737
1,L,8.289,CRAW_02___Anterior,2548,4.4922086210036,4.0272698588931,3.52413349781705,3.64632821234514,3.43859719764738,0.0643289323856416,-0.172670966213302,-0.294931378728529,-0.50190877736132,-0.119474689946017
1,L,8.791,CRAW_01___Central,2537,4.20748057053401,3.64900943693192,3.10783299071717,3.31567771905572,2.95937247047534,-1.01710916685493,-1.81603211093513,-2.43284248917941,-2.06463025445411,-2.57160782590555
1,L,9.292,CRAW_01___Central,2586,4.23802612061094,3.78934344336687,3.18560658648344,3.4163163905079,3.01949552758582,-0.90109277310314,-1.20634777689186,-2.03343621497918,-1.58899142585343,-2.26396564423895
1,L,9.292,CRAW_02___Anterior,2586,4.22529238344342,4.0304372212875,3.57543152848364,3.81374126610945,3.40384851739306,-0.949457338856207,-0.158910287093809,-0.0314903599549307,0.289319362238543,-0.297279351206536
1,L,9.393,CRAW_01___Central,2559,4.15192458617858,3.7614415284546,3.204504987568,3.36618023354109,3.09133231538683,-1.22811878822412,-1.32756829103504,-1.93638348273558,-1.82594510008355,-1.89638576415375
1,L,9.393,CRAW_02___Anterior,2559,4.59026395205912,4.31505162582215,3.55717914489947,3.80679452426985,3.38244837934021,0.436757186862867,1.0776035707805,-0.125225469548362,0.256487647515959,-0.406781187522815
1,L,9.494,CRAW_01___Central,2541,4.56750929124494,3.68283894340164,3.24423583302009,3.45691402032344,3.09232284208912,0.350331711398928,-1.66905903828534,-1.73234573963659,-1.39711877083137,-1.89131736260639
1,L,9.494,CRAW_02___Anterior,2541,4.49243512713617,4.09793088381906,3.5852270584416,3.82147224912998,3.41648049366418,0.065189235264391,0.134317489537592,0.018814580761479,0.325857560276693,-0.232643104721782
1,L,9.595,CRAW_01___Central,2561,4.34877297402687,3.80977321298518,3.16770282809188,3.3467979979024,3.04233620922451,-0.480460290783707,-1.11759017065783,-2.12538096001634,-1.91754948756028,-2.14709272613087
1,L,9.595,CRAW_02___Anterior,2561,4.4211544781169,4.07775765708781,3.56784282089962,3.78964991062785,3.41257785808986,-0.205544924790824,0.0466744398050374,-0.070462165132068,0.175458716670384,-0.25261240402287
1,L,9.699,CRAW_02___Anterior,2603,4.72292416949516,4.4071946473793,3.63481982126878,3.79065326154527,3.52787530343197,0.940619778385759,1.47792105733962,0.273498197134661,0.180200757161871,0.337350238103881
1,L,9.799,CRAW_01___Central,2571,4.71862441865481,3.90073362052962,3.17374340734927,3.41975269716855,3.00153690447577,0.924288706093002,-0.722410578006877,-2.09435956732602,-1.57275074171882,-2.35585767799153
1,L,9.799,CRAW_02___Anterior,2571,4.43241813142171,4.01866395587504,3.49589349457181,3.68060411694465,3.36659605891082,-0.162763949047923,-0.210059510755739,-0.439957905642378,-0.339913881386519,-0.487895533262325
1,L,9.899,CRAW_01___Central,2568,4.67308688024402,3.80193872546365,3.05002952186254,3.14093147894822,2.98639815190257,0.751330583765968,-1.1516272827483,-2.72969218352111,-2.89051652409341,-2.43332078604294
1,L,9.899,CRAW_02___Anterior,2568,4.73163959263563,4.01055161071857,3.51173100635481,3.72552690171856,3.36207387960018,0.973722209352981,-0.245303781762446,-0.358624369349939,-0.127599664405905,-0.511034960561506
1,L,9.898,CRAW_01___Central,2556,4.62328736443435,4.33112512461207,3.67251541427571,3.8458777735573,3.55116176277859,0.562184858111264,1.14743525772819,0.46708390200437,0.441203032176268,0.456504145123627
1,L,9.898,CRAW_02___Anterior,2556,4.06754326752262,3.6011003281633,3.28729842278917,3.41007151292487,3.20135725969417,-1.54861117634048,-2.02417434114891,-1.51119782474824,-1.61850598735834,-1.3334018519708
1,L,9.898,CRAW_03___Lateral,2556,4.59309749014014,4.15394317673033,3.70441018178501,3.90593533385165,3.56334257533836,0.447519372153037,0.37766419052181,0.630879469534204,0.725047276290618,0.518831843189172
1,R,-0.230,CRAW_01___Central,2510,4.81948422809119,4.3063716980673,3.62289174775569,3.87388804512283,3.44360867820774,1.30736877293838,1.03989342405839,0.212241579727297,0.573585272163826,-0.0938315692022727
1,R,-0.230,CRAW_02___Anterior,2510,4.52242075967395,3.88620873732023,3.42409177892812,3.59508746806621,3.30195200097234,0.17907898164762,-0.785514268776763,-0.80869559153534,-0.744082955873183,-0.818671112079499
1,R,-0.230,CRAW_03___Lateral,2510,4.31782470460611,3.92556480185232,3.64423032880626,3.77774337172104,3.54886386958142,-0.598006270542207,-0.614530936907492,0.321825855343679,0.11918599231299,0.444746112342346
1,R,-0.482,CRAW_01___Central,2529,4.68188152261065,4.31867450513848,3.74086780090111,3.90955245405489,3.62616223675654,0.784733900751345,1.09334325369419,0.818107559915081,0.742142522000345,0.840272212642358
1,R,-0.482,CRAW_02___Anterior,2529,4.59652972402929,4.10043871225673,3.45094451874337,3.60640254671887,3.34523305972003,0.460555490256273,0.145212808140393,-0.670793355487152,-0.690605592964717,-0.597207334655255
1,R,-0.482,CRAW_03___Lateral,2529,4.89060940451275,4.33052183822692,3.75543915306197,3.86434280833339,3.6813846674774,1.57751242569977,1.14481426608606,0.89293873390525,0.528472541841244,1.12283850052558
1,R,-0.733,CRAW_01___Central,2580,4.60221838073863,4.36321510059979,3.76093611481945,3.95442004974759,3.6281530222217,0.482161826860066,1.28685089999879,0.921168379112514,0.954195904159121,0.850458813476821
1,R,-0.733,CRAW_02___Anterior,2580,4.56488278519976,4.04040939665312,3.70548660126309,3.83016670214245,3.6199218261498,0.34035586356636,-0.115585940763213,0.636407421392148,0.366949313441769,0.80834081018514
1,R,-0.733,CRAW_03___Lateral,2580,4.27438614076194,4.05800043062244,3.72938235013829,3.9394111358313,3.58524494819211,-0.762992185487742,-0.0391612871587226,0.759124031488856,0.883260724563638,0.630903552317673
